ID,Data,View_time,searched_game,watched,channel_name,language,last_game_name,stream_title,stream_tags,classification_labels,is_branded_content
0,2025-04-09 20:11,523,league-of-legends,False,blaws770,en,League of Legends,play lol,['English'],[],False
0,2025-04-09 20:11,523,league-of-legends,False,allot147,en,League of Legends,L O L,['English'],[],False
0,2025-04-09 20:11,523,league-of-legends,True,Dantes,en,League of Legends,89% WR MASTERS - BEST HEC WORLD - DEMON GRIND TO GM,['English'],[],False
0,2025-04-09 20:29,442,ea-sports-fc-25,True,KHROMEPLAYS,en,EA Sports FC 25,ELITE RIVALS! - I NEED MY POINTS!,"['English', 'EAFC', 'futchampions', 'CHAMPS']",[],True
0,2025-04-09 20:29,442,ea-sports-fc-25,False,BPMnerd,en,EA Sports FC 25,95 HENRY x 94 R9 RIVALS!🎉GOOD VIBES🎉,"['English', 'GRIND', 'ENGLAND', 'bald', 'BPM', 'soccer', 'fc25', 'EAFC', 'goodvibes', 'EASPORTSFC']",[],False
0,2025-04-09 20:29,442,ea-sports-fc-25,False,Kexzyy,en,EA Sports FC 25,11v11 PRO CLUBS UCL EDITION (ARSENAL v MADRID) ~ 919/1000 SUBS),['English'],[],False
0,2025-04-10 00:02,540,ea-sports-fc-25,False,GAdamou10_,en,EA Sports FC 25,#1 NA PRO COOKING IN THE ELITE DIVISION!!! (ENG/GRE),['English'],[],False
0,2025-04-10 00:02,540,ea-sports-fc-25,False,chairez7,en,EA Sports FC 25,Immortals PROMO!  #Factor75partner !tts !sub,"['English', 'fifa', 'eafc', 'spanish', 'ultimateteam', 'eafc25', 'fc25']",[],False
0,2025-04-10 00:02,540,ea-sports-fc-25,True,AdidaFC,en,EA Sports FC 25,#1 NA PRO TOP 10 ELITE DIVISION | !4213 !451,"['English', 'EAFC', 'EAFC25', 'FIFA', 'PRO', 'EASPORTSFC', 'FC25', 'fc25']",[],False
1,2025-04-10 00:13,525,league-of-legends,False,Naayil,en,League of Legends,"KOREA DAY 12, They Don't Love You Like They Used To","['English', 'leagueoflegends']",[],False
1,2025-04-10 00:14,525,league-of-legends,False,Viper,en,League of Legends,Mid lane challenge day 10 Masters 361lp start,['English'],[],False
1,2025-04-10 00:14,525,league-of-legends,True,KarasMai,en,League of Legends,2 Challenger Accounts - Rank 1 Kayn World -  !hellofresh !Challenger !discord,"['English', 'kayn']",[],False
2,2025-04-10 00:25,350,minecraft,True,PewDiePie,en,Minecraft,Minecraft Reruns ∞ Binge @PewDiePie vids 24/7 with chat ∞ !video,"['Minecraft', 'YouTube', 'AlwaysOn', 'English', 'Rerun']",[],True
2,2025-04-10 00:25,350,minecraft,False,frowsedd,en,Minecraft,🟪LATE NIGHT GAMEZ!🟪[99/365]🟪,['English'],[],False
2,2025-04-10 00:25,350,minecraft,False,happyf333tz,en,Minecraft,1st time trying Roguecraft Part 2,['English'],[],False
2,2025-04-10 04:01,554,league-of-legends,False,TenZ,en,League of Legends,got a haircut today :D,"['English', 'Anime', 'FPS', 'tenz']",[],False
2,2025-04-10 04:01,554,league-of-legends,False,midbeast,en,League of Legends,"low taper fade has arrived, pop the ballons in queue, lets go","['leagueoflegends', 'English', 'LyingEncouraged', 'Manipulator', 'Anime', 'Australia', 'dinosaurs', 'Affectionate', 'Golf', 'trapezoid']",[],False
2,2025-04-10 04:01,554,league-of-legends,True,BeerManStan,en,League of Legends,🍺 VIEWER GAME NIGHT 🍀 TYPE !JOIN TO JOIN THE QUEUE 🍀 SUB WARS SIGN UPS - !SUBWARS 🍀 DILLY DILLY! 🍀🍺,['English'],[],False
3,2025-04-10 04:13,480,fortnite,True,Oatley,en,Fortnite,"OCE FNCS PLAY-IN | Code ""Oatley"" #ad | !socials !youtube !delay","['FamilyFriendly', 'Fortnite', 'BattleRoyale', 'Multiplayer', 'Competitive', 'Professional', 'Positivity', 'PC', 'English']",[],False
3,2025-04-10 04:13,480,fortnite,False,NickEh30_VODs,en,Fortnite,Official 24/7 NickEh30 Channel,"['Canadian', 'Positivity', 'BattleRoyale', 'PC', 'FamilyFriendly', 'Multiplayer', 'PVP', 'PlayingWithViewers', 'Drops', 'English']",[],False
3,2025-04-10 04:13,480,fortnite,False,Loeya,en,Fortnite,SNIPER GRIND - Code: LOEYA #EpicPartner,"['Cats', 'BattleRoyale', 'English']",[],False
3,2025-04-10 08:01,377,counter-strike,False,eplcs_en2,en,Counter-Strike,[EN] Johnny Speeds vs Preasy | European Pro League - Season 24 | Opening Matches | by @emenjay,"['EPL', 'English', 'CS2', 'ECLOT', 'SINNERS', 'Tricked', '9Pandas', '9INE', 'JohnnySpeeds', 'Leo']",['MatureGame'],False
3,2025-04-10 08:01,377,counter-strike,True,Andoflan,en,Counter-Strike,FIRST GOLD UNBOXING!! NONSTOP! !hellcase !discord !from !bravo !games🔥,"['English', 'funny', 'ChatInteraction', 'food', 'Shooter', 'VarietyStreamer', 'chill', 'bilungual', 'frontpage']",['MatureGame'],False
3,2025-04-10 08:01,377,counter-strike,False,shkodq,ru,Counter-Strike,САМЫЕ ДЕШЕВЫЕ СКИНЫ ЗА БАЛЛЫ|ПЛАЧУ ЗА ВАШИ ТИКТОКИ СО МНОЙ,"['Русский', 'cs2faceit', 'cs2player', 'CSGOSTREAM', 'cs2ranked', 'csfaceitlvl10csgo', 'faceit', 'общение', 'Повтор', 'общениесозрителями']",['MatureGame'],False
3,2025-04-10 16:01,344,ea-sports-fc-25,False,jirotf16,en,EA Sports FC 25,⛓️FC25 ASTON VILLA CAREER MODE!⛓️UCL FINAL DAY WITH GLOVEJOB!⛓️!COMMUNITY⛓️!WHEEL⛓️!PRIME⛓️FC25!⛓️VARIETY⛓️,"['fc25', 'eafc25', 'careermode', 'English']",[],False
3,2025-04-10 16:02,344,ea-sports-fc-25,True,TheFutAccountant,en,EA Sports FC 25,SO MANY ICON SBC LEAKS !prime !code !immortal,"['FIFA', 'Soccer', 'Football', 'English']",[],False
3,2025-04-10 16:02,344,ea-sports-fc-25,False,Pieface23,en,EA Sports FC 25,(UK) Live all Night. Icon Picks and Packs. Gulag (A),"['English', 'eafc', 'eafc25', 'fc25', 'fornite']",[],False
3,2025-04-10 20:01,386,valorant,True,tarik,en,VALORANT,🔴 CUBERT vs WU - VCT CHALLENGERS 🔴,['English'],[],False
3,2025-04-10 20:01,386,valorant,False,rawdogmoon,en,VALORANT,❗️ASSYRIAN GIGACHAD❗️ !discord !socials ❗️,"['English', 'assyrian', 'valorant', 'GIGACHAD']",[],False
3,2025-04-10 20:01,386,valorant,False,adilswrld,en,VALORANT,😁Stop Calling Me Mooda Clone😁 TTS IS ENABLED 😁 !discord !socials,"['English', 'ADHD', 'silly', 'LOUD', 'valorant']",[],False
3,2025-04-11 00:02,560,grand-theft-auto-v,True,PENTA,en,Grand Theft Auto V,PRP| TOW DAY,"['educational', 'Socialeating', 'English']",['MatureGame'],False
3,2025-04-11 00:02,560,grand-theft-auto-v,False,Jefe,en,Grand Theft Auto V,TUESDAY... | FULLTIME STREAMER! | GTA MERCHANT!! | !socials !discord !sub !server,['English'],['MatureGame'],False
3,2025-04-11 00:02,560,grand-theft-auto-v,False,OvercastFiveM,en,Grand Theft Auto V,being a developer,['English'],['MatureGame'],False
3,2025-04-11 04:01,581,valorant,False,TenZ,en,VALORANT,late night gamer moment,"['English', 'Anime', 'FPS', 'tenz']",[],False
3,2025-04-11 04:01,581,valorant,True,lunatiikoh,es,VALORANT,👦MX👾UN VALOGOD Y LUEGOS OVERSITO CON SEGUIDORES👾!sr !join,"['garticphone', 'Español', 'Vtuber', 'juegoespañol', 'Español', 'Hombre', 'Pelirrojo', 'TrickOrTreatChallenge', 'trickortreat', 'Repetir']",[],False
3,2025-04-11 04:01,581,valorant,False,eggsterr,en,VALORANT,Yoru GRIND - !merch !tts,['English'],[],False
3,2025-04-11 08:00,328,the-sims-4,False,Lillulah,en,The Sims 4,stream-a-thon day 10!!!! THE FINAL DAY! 🐌🌷!snapril !throne (!giveaway codes provided by EA #ad),"['cosy', 'cozy', 'ocd', 'chatty', 'dannydevito', 'English', 'LGBTQIAPlus', 'hatdag', 'slitherlegs', 'streamathon']",[],True
3,2025-04-11 08:00,328,the-sims-4,True,Icywintrr,en,The Sims 4,18+|❄️♡ NEW SIMS LP: SET UP ♡❄️ | BIRTHDAY SUBATHON DAY 10/30  | SUB GOAL 500?? CAN WE HIT IT | Use !Sub to see the goals | #Icy4partner |,"['SafeSpace', '18plus', 'girlgamer', 'English', 'GTARP', 'roblox', 'Roleplay', 'fivem', 'sims4', 'THEGARDENSRP']",[],True
3,2025-04-11 08:01,328,the-sims-4,False,nele_isi,en,The Sims 4,this weeks costumers have given me brain pain (don't become a barista kids) - save file work in progress | !s4mods !thorny !discord,"['LGBTQIAPlus', 'Cosy', 'Chatty', 'UnhingedSometimes', 'English', 'LurkerFriendly', 'AnonymousFollows', 'ClosedCaptions', 'Chaotic', 'Cactus']",[],False
3,2025-04-11 12:01,407,marvel-rivals,True,Necros,en,Marvel Rivals,[!DROPS ENABLED] SEASON 2 IS FINALLY HERE. EMMA FROST HAS COME AND SO HAVE I.,"['English', 'spiderman', 'blackpanther', 'DropsEnabled']",[],False
3,2025-04-11 12:01,407,marvel-rivals,False,TimTheTatman,en,Marvel Rivals,DROPS ON - SEASON 2 MARVEL RIVALS IS HERE!!!,"['English', 'DropsEnabled']",[],False
3,2025-04-11 12:01,407,marvel-rivals,False,Ninja,en,Marvel Rivals,NEW DROPS ON | NEW MARVEL RIVALS SEASON 2 | God is good <3,"['English', 'Ninja', 'BattleRoyale', 'Chapter6', 'YouKnowWhatsCrazy', 'LowTaperFade', 'ItsMassive', 'StillDraggingIt', 'SaveYourSkin', 'DropsEnabled']",[],False
3,2025-04-11 16:01,385,the-sims-4,False,Charmelian,en,The Sims 4,D&D LEGACY ⚔️  Fairy Bard Gen [day 9] !lnl !shell,"['Chatty', 'Cozy', 'English', 'ClosedCaptions', 'LegacyChallenge', 'DnD']",[],False
3,2025-04-11 16:01,385,the-sims-4,False,SarahKendall,en,The Sims 4,not so berry GREEN GEN!!! making enemies 😭 | !shell !socials !palestine | #eapartner,"['Chatty', 'LGBTQ', 'English', 'ADHD', 'Captions', 'Living', 'Laughing', 'Loving']",[],False
3,2025-04-11 16:01,385,the-sims-4,True,snaccdaddysims,en,The Sims 4,🌻GIVEAWAY + EA RENO IN OASIS SPRINGS🌻|| !daddy !merch !kofi !javy,"['English', 'ADHD', 'Woman', 'CozyChaos', 'USA', 'chill', 'smallstreamer', 'LurkerFriendly']",[],False
4,2025-04-11 16:10,445,valorant,True,VALORANT_EMEA,en,VALORANT,KC vs. M8 - VCT EMEA 2025 Stage 1 - W3D3 - Map 1,"['Esports', 'English', 'VALORANT', 'VCT', 'VALORANTEurope', 'VCTEMEA']",[],False
4,2025-04-11 16:10,445,valorant,False,Squeezie,fr,VALORANT,GENTLE MATES vs KARMINE CORP / LE CLASICO ft @beyaz @brawks #VCTWatchParty #M8WIN,['Français'],[],True
4,2025-04-11 16:10,445,valorant,False,FYR_VL,en,VALORANT,TOP 0.01% CHAMBER MAIN. // !ns !record !youtube !iqunix,"['radiant', 'valorant', 'English', 'riotgames', 'radiantvalorant', 'chambermain']",[],False
