ID,Data,View_time,searched_game,watched,channel_name,language,last_game_name,stream_title,stream_tags,classification_labels,is_branded_content
0,2025-04-07 19:41,454,fortnite,False,tthais,pt,Fortnite,DROPS ON! sabrina carpinteira amanhã ✨apoie TTHAIS na epic #EpicPartner !sociais,"['Português', 'Brasil', 'Mulher', 'DropsAtivados']",[],False
0,2025-04-07 19:41,454,fortnite,True,oimille,pt,Fortnite,"[DROPS ON] GESTO GRÁTIS DO FORTNITE, VEM GARANTIR O SEU! - ❗JOGAR  ❗NICK ❗PRESENTE❗PRIME ❗PIX ❗INSTA ❗DISCORD","['Português', 'fornite', 'fortnitebrasil', 'garotagamer', 'Brasil', 'fortnitegaminglive']",[],True
0,2025-04-07 19:41,454,fortnite,False,AiNando1,pt,Fortnite,[[DROPS ON - GESTO] SEGUNDOU BBS ! VEM JOGAR COM NOS ❗JOGAR ❗NICK ❗ USE CODE: Ainando1 #AD❗PIX ❗Livepix❗JOGAR  ❗Comandos ❗instagram ❗apoie,"['Português', 'Fortnite', 'comedia', 'engraçado', 'live', 'Phasmophobia', 'liarsbar', 'StreamGamer', 'francais', 'tiktok']",[],False
1,2025-04-07 19:54,347,sea-of-thieves,False,ofernandomaidana,pt,Sea of Thieves,⚓ DIA DE FARMAR EMISSÁRIO ⚓ !cmd !playlist,"['Português', 'seaofthieves', 'pirata', 'SongRequests', 'songrequest', 'SeaOfThievesPartner', 'SeaofThievesgameplay', 'English']",[],False
1,2025-04-07 19:54,347,sea-of-thieves,True,baruca2222,pt,Sea of Thieves,"Rumo ao nível 400, LET´S BORA.","['Português', 'crime', 'seaofthieves']",[],True
1,2025-04-07 19:55,347,sea-of-thieves,False,JujubaNeko,pt,Sea of Thieves,[PT/BR +18] SEGUNDA DA PREGUIÇA! (XBOX SERIES S) - Código Epic JUJUBANEKO !cmds,"['Anime', 'MãeGamer', 'Brasil', 'Português', 'XboxSeriesS', 'PvP', 'Multiplayer', 'PvE', 'Aventura', 'Cooperativo']",['ProfanityVulgarity'],False
2,2025-04-07 20:02,334,counter-strike,False,waveigl,pt,Counter-Strike,+18 🔞 WAVEIGL ❤️,['Português'],"['MatureGame', 'ProfanityVulgarity']",False
2,2025-04-07 20:02,334,counter-strike,True,JapaDaMydiSkins,pt,Counter-Strike,É grátis os 20 sorteios por live mais de R$16.000 em skins !play para participar,"['Português', 'CounterStriker2', 'risada', 'engraçado', 'skinscsgo', 'skinsgratis', 'sorteiodeskins']",['MatureGame'],False
2,2025-04-07 20:02,334,counter-strike,False,BrunoBalloni,pt,Counter-Strike,🟢HOJE TEM SORTEIO DOS SUBS! -> ❗csgocases ❗regraloja❗farm ❗sub ❗msg ❗loja,"['Português', 'fps', 'Brasil', 'counterstrike', 'cs', 'cs2', 'brazil']",['MatureGame'],False
3,2025-04-07 20:11,472,overwatch-2,False,lotuspequeno,pt,Overwatch 2,🔥ModukOT🔥 🎁PARCEIRO MODUKOT🎁  🧙‍♂️(MS) 101º Dia🧙‍♂️❗comandos❗ot❗loja❗zerobot❗exitlag,"['Português', 'modukot', 'Overｗatch2']",['ProfanityVulgarity'],False
